"State","VMT"
"Alabama","13424"
"Alaska","6756"
"Arizona","9397"
"Arkansas","11490"
"California","8666"
"Colorado","9333"
"Connecticut","8756"
"Delaware","9965"
"District of Columbia","5967"
"Florida","10412"
"Georgia","11532"
"Hawaii","7347"
"Idaho","10080"
"Illinois","8245"
"Indiana","11685"
"Iowa","10304"
"Kansas","10480"
"Kentucky","11063"
"Louisiana","10023"
"Maine","10953"
"Maryland","9721"
"Massachusetts","8303"
"Michigan","9872"
"Minnesota","10677"
"Mississippi","13427"
"Missouri","11833"
"Montana","11310"
"Nebraska","10643"
"Nevada","7820"
"New Hampshire","9924"
"New Jersey","8306"
"New Mexico","12299"
"New York","6773"
"North Carolina","10737"
"North Dakota","12285"
"Ohio","9694"
"Oklahoma","12728"
"Oregon","8816"
"Pennsylvania","7898"
"Rhode Island","7867"
"South Carolina","10621"
"South Dakota","10889"
"Tennessee","11100"
"Texas","9306"
"Utah","9619"
"Vermont","11582"
"Virginia","10270"
"Washington","8505"
"West Virginia","10363"
"Wisconsin","10448"
"Wyoming","16976"
